timestamp,frame_no,vehicle_id,vehicle_class,plate,confidence,speed_kmh
2025-08-22 04:09:32,2,1,car,Nai3 wRU,0.16,0.00
2025-08-22 04:09:32,2,3,car,Wssu,0.10,0.00
2025-08-22 04:09:33,3,3,car,WSU,0.17,65.02
2025-08-22 04:09:36,4,3,car,WeS,0.17,75.79
2025-08-22 04:09:36,5,1,car,NAIJ NRU,0.29,82.43
2025-08-22 04:09:36,5,3,car,WESU,0.10,60.37
2025-08-22 04:09:36,6,1,car,NAIJ NRU,0.38,124.67
2025-08-22 04:09:36,6,3,car,WLsu,0.22,48.30
2025-08-22 04:09:37,7,1,car,NAJ NRU,0.39,106.37
2025-08-22 04:09:37,7,3,car,WIsU,0.19,102.46
2025-08-22 04:09:37,8,3,car,HUSIVSU,0.41,75.79
2025-08-22 04:09:37,9,1,car,Nai3 NRU,0.38,101.46
2025-08-22 04:09:38,9,3,car,Wusu,0.19,54.27
2025-08-22 04:09:38,10,1,car,Naij NRU,0.44,113.91
2025-08-22 04:09:38,10,3,car,MSNsU,0.18,76.37
2025-08-22 04:09:38,11,3,car,csisu,0.18,29.08
2025-08-22 04:09:42,12,1,car,NAIJ NRU,0.34,92.28
2025-08-22 04:09:42,12,3,car,CuSVSU,0.13,65.69
2025-08-22 04:09:43,13,1,car,NaIJ NRU,0.12,116.32
2025-08-22 04:09:43,13,3,car,Wssu,0.35,48.90
2025-08-22 04:09:43,14,3,car,QSVSU,0.10,27.00
2025-08-22 04:09:46,15,1,car,NaIJNRU,0.31,106.37
2025-08-22 04:09:46,15,3,car,cssv,0.11,43.20
2025-08-22 04:09:46,16,1,car,NaiJNrU,0.28,111.19
2025-08-22 04:09:46,16,3,car,HSIVSU,0.32,67.66
2025-08-22 04:09:47,17,3,car,WVSU,0.27,46.45
2025-08-22 04:09:47,18,3,car,LNSU,0.16,65.69
2025-08-22 04:09:47,19,2,car,,0.00,56.38
2025-08-22 04:09:48,19,3,car,HVSVSU,0.37,103.17
2025-08-22 04:09:48,20,3,car,csnsu,0.08,65.69
